Job_Title,Location,machine_learning,hadoop,tableau,lat,long
Data Scientist,FL,1,1,0,27.994402,-81.760254
Sr Data Scientist,AR,0,0,0,34.799999,-92.199997
Junior Data Scientist,NY,1,0,0,43,-75
Data Scientist,TX,1,0,0,31,-100
Data Scientist,TX,1,0,0,31,-100
Data Scientist,CA,1,0,0,36.778259,-119.417931
Data Scientist,OH,0,0,0,40.367474,-82.996216
Data Scientist,MI,0,1,0,44.182205,-84.506836
Data Scientist,GA,1,0,0,33.247875,-83.441162
Data Scientist,NY,1,0,0,43,-75
Senior Modeler (Data Scientist),TX,1,0,0,31,-100
Data Scientist,DC,1,0,0,47.751076,-120.740135
Data Scientist,GA,0,0,0,33.247875,-83.441162
Pharmaceutical Ontology Data Scientist,MD,0,0,0,39.045753,-76.641273
Data Scientist,NE,1,0,0,41.5,-100
Data Scientist,NY,1,0,0,43,-75
Data Scientist,TX,1,0,0,31,-100
Data Scientist,IL,1,0,0,40,-89
"Data Scientist, Junior",MD,0,0,1,39.045753,-76.641273
Professional-Data Scientist,GA,1,0,0,33.247875,-83.441162
Data Scientist,WA,1,1,0,47.751076,-120.740135
Senior Data Scientist,CA,1,0,0,36.778259,-119.417931
Data Scientist,IA,1,0,0,40.273502,-86.126976
Machine Learning Data Scientist,MA,1,0,0,45.376584,-68.972168
Data Scientist,PA,1,0,0,41.203323,-77.194527
Intern - Data Scientist,MN,1,0,0,45.376584,-68.972168
Data Scientist,MO,1,0,0,38.573936,-92.60376
Data Scientist,CA,0,0,0,36.778259,-119.417931
Data Scientist,CO,1,1,0,39.113014,-105.358887
DATA SCIENTIST,OH,1,0,0,40.367474,-82.996216
Predictive Analytics - Data Scientist,CA,0,0,0,36.778259,-119.417931
Data Scientist,MO,1,0,0,38.573936,-92.60376
Data Scientist,IL,0,0,0,40,-89
Data Scientist,MI,1,0,0,44.182205,-84.506836
Data Scientist,KS,0,1,1,38.5,-98
Associate Data Scientist,MA,0,1,0,45.376584,-68.972168
DATA SCIENTIST,GA,1,1,0,33.247875,-83.441162
