Location,job_type,sql,sas,spark,java,r,lat,long
AZ,data_engineer,1,0,0,1,1,,
CT,data_engineer,1,0,0,1,0,41.599998,-72.699997
VA,data_engineer,1,0,1,0,1,37.926868,-68.024902
OH,data_engineer,1,0,1,1,0,40.367474,-82.996216
DC,data_engineer,0,0,0,1,0,47.751076,-120.740135
DC,data_engineer,0,0,0,1,0,47.751076,-120.740135
VA,data_engineer,1,0,0,1,0,37.926868,-68.024902
VA,data_engineer,1,0,1,0,0,37.926868,-68.024902
CO,data_engineer,1,1,0,0,1,39.113014,-105.358887
WA,data_engineer,1,0,0,0,0,47.751076,-120.740135
CT,data_engineer,1,0,0,1,1,41.599998,-72.699997
PA,data_engineer,0,0,0,0,0,41.203323,-77.194527
NE,data_engineer,1,1,0,0,1,41.5,-100
IL,data_engineer,1,0,0,1,1,40,-89
MA,data_engineer,0,0,1,1,0,45.376584,-68.972168
WA,data_engineer,1,0,1,0,0,47.751076,-120.740135
IL,data_engineer,0,0,0,0,0,40,-89
IL,data_engineer,1,0,1,0,0,40,-89
OH,data_engineer,1,0,1,1,0,40.367474,-82.996216
CA,data_engineer,1,0,0,1,0,,
IL,data_engineer,1,0,1,0,0,40,-89
MI,data_engineer,1,0,1,1,0,44.182205,-84.506836
OH,data_engineer,1,0,0,0,0,40.367474,-82.996216
NC,data_engineer,1,0,0,1,1,35.782169,-80.793457
TX,data_engineer,1,0,1,1,1,31,-100
WA,data_engineer,1,0,0,1,0,47.751076,-120.740135
CA,data_engineer,0,0,0,0,0,,
TX,data_engineer,0,1,0,0,1,31,-100
CA,data_engineer,1,0,1,1,0,,
NY,data_engineer,1,0,0,1,0,43,-75
OH,data_engineer,1,0,0,0,0,40.367474,-82.996216
CA,data_engineer,1,0,0,0,0,,
CA,data_engineer,1,0,1,0,0,,
CA,data_engineer,0,0,0,0,0,,
TX,data_engineer,1,0,1,0,0,31,-100
CA,data_engineer,0,0,0,0,0,,
CA,data_engineer,0,0,1,1,0,,
CA,data_engineer,1,0,0,1,0,,
WA,data_engineer,1,0,1,0,0,47.751076,-120.740135
CA,data_engineer,1,0,0,1,0,,
TX,data_engineer,0,0,0,0,0,31,-100
NY,data_engineer,1,0,0,0,0,43,-75
TX,data_engineer,1,0,1,1,0,31,-100
NY,data_engineer,1,0,0,1,0,43,-75
CA,data_engineer,1,0,0,1,0,,
CA,data_engineer,0,0,0,0,0,,
TX,data_engineer,0,0,1,1,0,31,-100
CA,data_engineer,1,0,0,0,0,,
NC,data_engineer,1,0,1,0,1,35.782169,-80.793457
CA,data_engineer,0,0,0,1,1,,
CA,data_engineer,1,0,1,1,0,,
CT,data_engineer,0,0,0,0,0,41.599998,-72.699997
CA,data_engineer,1,0,0,0,0,,
CA,data_engineer,0,0,0,1,0,,
CA,data_engineer,1,0,1,1,0,,
MA,data_engineer,0,0,0,0,0,45.376584,-68.972168
CA,data_engineer,1,0,0,0,1,,
TX,data_engineer,1,0,1,1,1,31,-100
CA,data_engineer,1,0,0,1,0,,
CA,data_engineer,1,0,0,1,0,,
CA,data_engineer,1,0,0,0,0,,
NY,data_engineer,0,0,0,1,0,43,-75
CA,data_engineer,1,0,0,1,1,,
CA,data_engineer,0,0,0,0,0,,
TX,data_engineer,1,0,1,1,0,31,-100
WA,data_engineer,1,0,0,0,0,47.751076,-120.740135
WA,data_engineer,1,0,0,1,0,47.751076,-120.740135
NY,data_engineer,1,0,1,1,0,43,-75
CO,data_engineer,1,0,0,1,1,39.113014,-105.358887
NY,data_engineer,0,0,1,1,0,43,-75
CA,data_engineer,1,0,0,1,0,,
NY,data_engineer,1,0,0,1,0,43,-75
TX,data_engineer,1,0,1,0,1,31,-100
TX,data_engineer,1,0,1,0,1,31,-100
