Location,job_type,sql,sas,spark,java,r,lat,long
IN,data_scientist,1,0,0,0,0,40.273502,-86.126976
OR,data_scientist,1,0,0,0,1,44,-120.5
CA,data_scientist,1,0,0,0,0,36.778259,-119.417931
NJ,data_scientist,0,0,0,0,0,39.833851,-74.871826
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
TX,data_scientist,0,0,0,1,1,31,-100
MA,data_scientist,0,0,1,0,1,45.376584,-68.972168
WA,data_scientist,0,0,0,0,1,47.751076,-120.740135
CA,data_scientist,0,0,0,0,1,36.778259,-119.417931
CA,data_scientist,1,0,0,0,1,36.778259,-119.417931
VA,data_scientist,0,0,0,0,0,37.926868,-68.024902
GA,data_scientist,0,0,0,0,0,33.247875,-83.441162
TX,data_scientist,1,1,0,0,1,31,-100
WA,data_scientist,1,0,0,0,1,47.751076,-120.740135
WA,data_scientist,1,0,1,0,1,47.751076,-120.740135
IA,data_scientist,0,1,0,0,1,42.032974,-93.581543
KY,data_scientist,1,0,0,0,1,37.839333,-84.27002
FL,data_scientist,0,1,0,1,1,27.994402,-81.760254
AR,data_scientist,1,1,1,0,1,34.048927,-11.093735
GA,data_scientist,1,1,1,1,1,33.247875,-83.441162
TX,data_scientist,0,1,0,0,1,31,-100
CA,data_scientist,1,1,0,0,1,36.778259,-119.417931
CA,data_scientist,1,0,0,0,1,36.778259,-119.417931
CT,data_scientist,1,0,0,0,1,41.599998,-72.699997
MN,data_scientist,0,0,0,0,0,46.39241,-94.63623
GA,data_scientist,0,0,1,1,1,33.247875,-83.441162
GA,data_scientist,0,0,1,1,1,33.247875,-83.441162
IL,data_scientist,0,0,0,0,1,40,-89
FL,data_scientist,1,0,0,0,1,27.994402,-81.760254
MN,data_scientist,0,0,0,0,0,46.39241,-94.63623
SC,data_scientist,0,0,0,0,0,33.836082,-81.163727
GA,data_scientist,1,0,1,1,1,33.247875,-83.441162
VA,data_scientist,0,0,0,0,0,37.926868,-68.024902
OH,data_scientist,0,0,0,1,1,40.367474,-82.996216
CA,data_scientist,1,0,0,0,1,36.778259,-119.417931
MI,data_scientist,0,0,0,0,0,44.182205,-84.506836
NC,data_scientist,1,0,0,0,1,35.782169,-80.793457
AR,data_scientist,0,0,0,0,1,34.048927,-11.093735
NE,data_scientist,0,0,0,0,1,41.5,-100
FL,data_scientist,0,0,1,0,0,27.994402,-81.760254
AR,data_scientist,0,0,0,0,0,34.048927,-11.093735
NY,data_scientist,1,0,0,0,1,43,-75
TX,data_scientist,0,1,0,0,1,31,-100
TX,data_scientist,0,0,0,0,0,31,-100
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
OH,data_scientist,0,0,0,0,0,40.367474,-82.996216
MI,data_scientist,1,1,0,0,1,44.182205,-84.506836
GA,data_scientist,0,0,0,0,1,33.247875,-83.441162
NY,data_scientist,1,0,0,0,1,43,-75
TX,data_scientist,0,0,0,0,1,31,-100
DC,data_scientist,0,0,0,0,1,47.751076,-120.740135
GA,data_scientist,0,0,0,0,0,33.247875,-83.441162
MD,data_scientist,0,0,0,0,0,39.045753,-76.641273
NE,data_scientist,0,0,0,0,1,41.5,-100
NY,data_scientist,0,1,0,1,1,43,-75
TX,data_scientist,1,0,1,1,1,31,-100
IL,data_scientist,0,0,0,0,1,40,-89
MD,data_scientist,0,0,0,0,1,39.045753,-76.641273
GA,data_scientist,0,0,0,0,0,33.247875,-83.441162
WA,data_scientist,1,1,1,0,1,47.751076,-120.740135
CA,data_scientist,1,0,1,0,1,36.778259,-119.417931
IA,data_scientist,0,1,0,0,1,42.032974,-93.581543
MA,data_scientist,0,0,0,1,1,45.376584,-68.972168
PA,data_scientist,0,1,0,0,0,41.203323,-77.194527
MN,data_scientist,0,0,0,0,0,46.39241,-94.63623
MO,data_scientist,0,0,0,0,1,38.573936,-92.60376
