Location,job_type,sql,sas,spark,java,r,lat,long
CO,data_analyst,1,0,0,0,0,39.113014,-105.358887
VA,data_analyst,0,0,0,0,0,37.926868,-68.024902
TN,data_analyst,0,0,0,0,0,35.860119,-86.660156
IA,data_analyst,1,1,0,0,1,42.032974,-93.581543
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
MA,data_analyst,1,0,0,0,0,45.376584,-68.972168
GA,data_analyst,1,1,0,0,1,33.247875,-83.441162
WA,data_analyst,0,0,0,0,0,47.751076,-120.740135
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
OH,data_analyst,1,1,0,0,0,40.367474,-82.996216
VA,data_analyst,1,0,0,0,0,37.926868,-68.024902
GA,data_analyst,0,0,0,0,0,33.247875,-83.441162
GA,data_analyst,1,0,0,0,0,33.247875,-83.441162
IA,data_analyst,1,0,0,0,1,42.032974,-93.581543
WA,data_analyst,1,0,0,0,0,47.751076,-120.740135
KY,data_analyst,1,0,0,0,0,37.839333,-84.27002
ME,data_analyst,1,1,0,0,0,45.376584,-68.972168
NY,data_analyst,1,0,0,0,1,43,-75
OH,data_analyst,0,0,0,0,0,40.367474,-82.996216
MD,data_analyst,0,1,0,0,0,39.045753,-76.641273
VA,data_analyst,1,0,0,0,0,37.926868,-68.024902
AR,data_analyst,0,1,0,0,0,34.048927,-11.093735
FL,data_analyst,1,1,0,0,0,27.994402,-81.760254
NC,data_analyst,0,0,0,0,0,35.782169,-80.793457
NJ,data_analyst,1,0,0,0,0,39.833851,-74.871826
PA,data_analyst,1,0,0,0,0,41.203323,-77.194527
TN,data_analyst,0,0,0,0,0,35.860119,-86.660156
NY,data_analyst,0,1,0,0,1,43,-75
OR,data_analyst,0,0,0,0,0,44,-120.5
NM,data_analyst,1,0,0,0,0,34.307144,-106.018066
ME,data_analyst,1,0,0,0,0,45.376584,-68.972168
NJ,data_analyst,0,0,0,0,0,39.833851,-74.871826
NY,data_analyst,1,1,0,0,1,43,-75
AZ,data_analyst,1,1,0,0,1,34.048927,-11.093735
MD,data_analyst,1,0,0,0,1,39.045753,-76.641273
CT,data_analyst,0,0,0,0,0,41.599998,-72.699997
